State, city, max_price
VA,Herndon,1200.0
VA,Roanoke,1200.0
MD,Woodsboro,1200.0
CA,Temecula,3600.0
NJ,Princeton,1200.0
MN,Spring Lake Park,1200.0
Dublin,Santry,1200.0
Zurich,Ruti,1200.0
Stockholm,Nacka,1200.0
Cork,Blarney,1200.0
NY,Manhattan,1200.0
TX,Houston,1200.0
Wicklow,Newcastle,1200.0
England,Leighton Buzzard,1200.0
Bayern,Munchen,1200.0
Queensland,Worongary,1200.0
British Columbia,Kelowna,1200.0
MD,Silver Spring,3600.0
Buskerud,Tranby,1200.0
,Nadur,1200.0
England,Reading,1200.0
GA,Mableton,3600.0
Pomorskie,Gdansk,1200.0
TX,Shavano Park,1200.0
British Columbia,Powell River,3600.0
England,Kemble,1200.0
AZ,Scottsdale,3600.0
Brussels (Bruxelles),Brussels,3600.0
Meath,Navan,7500.0
Western Australia,Bunbury,3600.0
CT,Rowayton,1200.0
CA,Irvine,3600.0
TX,Greenville,1200.0
Kobenhavn,Lyngby,1200.0
Alberta,Three Hills,1200.0
CA,Santa Monica,1200.0
Stockholm,Stocksund,1200.0
Alberta,Calgary,3600.0
RI,Jamestown,1200.0
Scotland,Newburgh,1200.0
Sicilia,Lipari,7500.0
CT,Ridgefield,1200.0
CA,San Carlos,1200.0
TX,Austin,1200.0
New South Wales,Charlestown,1200.0
Basel-Country,Binningen,3600.0
NJ,Little Silver,1200.0
Vasterbotten,Umea,1200.0
England,Haverhill,1200.0
Gauteng,Roodepoort,1200.0
HI,Kailua Kona,1200.0
Dublin,Malahide,1200.0
MA,Swampscott,3600.0
Vaud,Aubonne,1200.0
AZ,Chandler,1200.0
Alberta,Edmonton,1200.0
FL,Parkland,1200.0
Vaud,Lausanne,3600.0
Rhone-Alpes,Saint-Cergues,3600.0
HI,Ewa Beach,1200.0
NH,W Lebanon,1200.0
NJ,North Caldwell,1200.0
TN,Nashville,1200.0
Taranaki,Hawera,1200.0
Waterford,Waterford,1200.0
England,Leicester,1200.0
DC,Washington,3600.0
England,Manchester,1200.0
Zurich,Regensdorf,1200.0
Nordrhein-Westfalen,Bergen,1200.0
Ontario,Hamilton,1200.0
NY,N Java,1200.0
St Gallen,Balgach,3600.0
Ontario,Alliston,1200.0
Quebec,Cartierville,1200.0
Madrid,El Escorial,1200.0
Sao Paulo,Campinas,7500.0
Pest,Budaors,1200.0
TX,The Woodlands,1200.0
Zug,Zug,3600.0
Limerick,Kilcornan,1200.0
Cork,Cork,3600.0
NC,Statesville,1200.0
MI,Rochester,1200.0
CA,Fresno,1200.0
NM,Corrales,1200.0
Vaud,Villars,1200.0
IN,Floyds Knobs,1200.0
WA,Gonzaga Univ,1200.0
CA,Redondo Beach,1200.0
PA,Downingtown,3600.0
VA,Mc Lean,1200.0
Alberta,Okotoks,3600.0
England,High Wycombe,1200.0
Zurich,Ruschlikon,1200.0
Chisinau,Bubuieci,1200.0
CA,San Jose,3600.0
HI,Mililani,3600.0
Ontario,Creemore,1200.0
Catalonia,Barcelona,1200.0
NY,Warwick,1200.0
CA,San Francisco,1200.0
British Columbia,Mission,3600.0
Ontario,Ottawa,3600.0
FL,Boca Raton,1200.0
FL,Saint Petersburg,1200.0
Lower Austria,Klosterneuburg,1200.0
VA,Dryden,1200.0
WI,Boyceville,1200.0
Central Bohemia,Prague,3600.0
NC,Fayetteville,1200.0
TN,White House,1200.0
IL,Genoa,1200.0
ID,Eagle,1200.0
Zurich,Langnau,3600.0
Geneve,Vesenaz,1200.0
British Columbia,Vancouver,3600.0
Queensland,Burpengary,3600.0
CO,Morrison,1200.0
Rhineland-Palatinate,Gries,1200.0
CA,Sacramento,1200.0
MD,Accokeek,1200.0
Istanbul,Tesvikiye,1200.0
Abu Zaby,Abu Dhabi,1200.0
,Hong Kong,1200.0
Madrid,Alcobendas,1200.0
KS,Atchison,1200.0
Rio Grande do Sul,Porto Alegre,1200.0
NY,Ithaca,1200.0
IL,Manteno,1200.0
Zurich,Zumikon,1200.0
FL,Delray Beach,3600.0
CA,San Anselmo,3600.0
MD,Owings Mills,1200.0
Queensland,Nerang,1200.0
VA,Sterling,3600.0
GA,Alpharetta,1200.0
GA,Ball Ground,1200.0
MD,Rockville,1200.0
TX,Terrell Hills,1200.0
Distrito Nacional,Santo Domingo City,1200.0
MD,Joppa,1200.0
Cork,Bandon,1200.0
SC,Bluffton,1200.0
England,Oxford,1200.0
British Columbia,Comox,1200.0
Kobenhavn,Kobenhavn,1200.0
NJ,Deptford,1200.0
CA,Malibu,1200.0
Scotland,Perth,1200.0
Budapest,Chepel,1200.0
IL,Lemont,1200.0
England,Bishops Stortford,1200.0
NY,Bedford Corners,1200.0
Istanbul,Beykoz,1200.0
Yukon Territory,Carcross,3600.0
